"","ID","hour0","hour1","hour10","hour11","hour12","hour13","hour14","hour15","hour16","hour17","hour18","hour19","hour2","hour20","hour21","hour22","hour23","hour3","hour4","hour5","hour6","hour7","hour8","hour9","total"
"204",204,"37","52","2","2","3","2","2","3","2","2","3","2","14","2","2","1","1","15","10","50","5","1","1","2","2"
"205",205,"1","75","1","1","1","1","3","1","1","1","4","5","63","4","4","1","1","23","34","23","33","1","1","1","3"
"206",206,"4","49","2","2","3","2","5","3","2","2","5","2","25","2","2","2","1","12","32","47","2","1","1","2","2"
"207",207,"1","28","4","2","3","2","2","3","2","2","5","4","17","5","2","1","1","22","49","8","23","1","1","2","2"
"208",208,"3","42","1","3","5","5","5","4","3","1","5","4","68","5","3","1","11","15","52","31","10","1","1","3","4"
"209",209,"1","42","1","1","1","1","3","1","1","1","4","5","48","4","4","1","1","15","6","54","2","1","1","1","1"
"210",210,"3","10","1","1","2","3","4","1","1","1","2","1","73","1","1","1","1","25","13","5","19","1","1","1","1"
"211",211,"41","57","2","2","3","2","2","3","2","2","3","2","41","2","2","1","2","21","9","75","16","1","1","2","2"
"212",212,"4","16","1","1","2","3","4","2","1","1","2","3","94","3","1","1","1","12","43","45","2","4","1","1","1"
"213",213,"32","28","2","2","3","2","2","3","2","2","3","2","10","2","2","2","1","43","9","46","4","1","1","2","2"
"214",214,"4","39","2","2","3","2","2","3","2","2","3","2","58","2","2","2","2","10","13","20","23","1","1","2","2"
"215",215,"32","38","2","2","3","2","2","3","2","2","3","2","45","2","2","1","14","34","14","36","9","1","1","2","2"
"216",216,"52","62","1","1","4","6","1","2","1","1","2","3","3","6","3","1","1","49","7","63","4","1","1","1","1"
"217",217,"27","32","3","3","5","5","5","4","3","4","5","4","22","5","5","1","5","61","9","21","11","1","1","3","4"
"218",218,"2","32","1","1","4","4","1","2","1","1","2","3","60","3","3","1","14","7","72","25","16","1","1","1","1"
"219",219,"11","17","3","2","3","1","2","4","3","5","5","4","58","5","5","1","1","6","30","13","15","1","1","2","5"
"220",220,"2","46","4","2","3","2","2","3","3","5","5","4","6","5","2","1","13","23","30","32","6","12","1","2","5"
"221",221,"4","9","1","1","1","1","1","2","1","1","4","3","77","4","3","1","1","2","31","10","58","1","1","1","1"
"222",222,"2","78","1","1","1","1","3","1","1","1","4","5","16","4","4","1","1","10","35","8","10","22","1","1","1"
"223",223,"48","39","1","1","1","1","1","2","1","1","2","3","20","6","3","1","2","38","71","60","15","1","1","1","1"
"224",224,"1","2","1","1","4","4","1","2","1","1","2","3","32","6","3","1","1","19","3","30","34","1","1","1","1"
"225",225,"18","75","1","1","4","4","1","2","1","1","2","3","29","3","3","1","1","6","3","4","32","1","1","1","1"
"226",226,"16","46","2","2","3","2","2","3","2","2","5","2","22","2","2","1","1","23","7","5","13","1","1","2","2"
"227",227,"8","46","1","1","1","1","1","1","1","1","2","5","20","4","3","1","13","49","21","5","11","1","1","9","1"
"228",228,"2","8","1","1","1","5","1","2","1","1","2","3","14","6","3","1","1","1","23","1","2","1","1","1","1"
"229",229,"1","56","1","1","2","1","4","1","1","1","1","1","8","1","1","1","1","19","2","27","43","1","1","1","1"
"230",230,"49","79","1","1","4","4","1","2","1","1","2","3","9","3","3","1","1","16","23","4","27","1","1","1","1"
"231",231,"15","79","1","4","2","3","4","5","4","3","1","1","44","1","1","1","13","67","43","15","15","1","1","1","1"
"232",232,"10","19","1","4","2","3","4","5","4","3","1","1","46","1","1","1","1","49","10","7","9","1","1","1","1"
"233",233,"2","19","1","1","1","1","3","1","1","1","4","5","47","4","4","1","1","24","26","63","2","1","1","1","3"
"234",234,"15","25","1","1","1","1","3","1","1","1","4","5","11","4","4","1","1","70","2","60","45","1","1","1","1"
"235",235,"2","25","1","1","4","4","1","2","1","1","2","3","49","3","3","1","13","42","74","14","27","1","1","1","1"
"236",236,"25","49","1","1","1","1","3","1","1","1","4","5","26","4","4","1","1","50","70","74","2","1","1","1","3"
"237",237,"27","51","2","2","4","6","1","2","1","1","2","3","48","6","3","1","9","52","11","20","25","1","1","3","1"
"238",238,"2","33","1","1","1","1","3","1","1","1","4","5","3","4","4","1","1","6","75","12","13","1","1","1","1"
"239",239,"25","57","2","2","3","6","1","2","1","1","2","3","41","6","8","1","13","64","1","21","19","1","1","2","1"
"240",240,"25","21","1","1","2","3","4","1","1","1","1","1","63","1","1","1","23","30","11","8","4","1","1","1","1"
