"","id","fast_greedy","walks","infomap","louvain"
"367","663",1,1,4,4
"368","664",1,1,2,4
"369","666",1,1,2,4
"370","667",1,1,2,4
"371","668",1,1,2,4
"372","671",1,1,2,4
"373","678",1,1,2,4
"374","679",1,1,2,4
"375","682",1,1,2,4
"376","686",1,1,2,4
"377","687",1,1,2,4
"378","690",1,1,2,4
"379","691",1,1,2,4
"380","696",1,1,2,4
"381","700",1,1,2,4
"382","701",1,1,2,4
"383","704",1,1,2,4
"384","707",1,1,2,4
"385","710",1,1,2,4
"386","720",1,1,2,4
"387","723",1,1,2,4
"388","727",1,1,2,4
"389","729",1,1,2,4
"390","730",1,1,2,4
"391","733",1,4,3,4
"392","736",1,1,4,4
"393","737",1,1,2,4
"394","738",1,1,2,4
"395","739",1,1,2,4
"396","740",1,1,4,4
"397","742",1,1,4,4
"398","743",1,1,2,4
"399","745",1,1,2,4
"400","751",2,3,1,1
"401","753",1,1,2,4
"402","754",1,1,4,4
"403","755",1,1,2,4
"404","757",1,1,2,4
"405","759",4,4,1,1
"406","760",4,4,1,1
"407","761",1,1,2,4
"408","770",1,1,2,4
"409","775",1,1,2,4
"410","9",2,3,1,3
"411","13",4,3,1,1
"412","15",2,3,1,1
"413","19",2,3,1,1
"414","23",2,3,1,1
"415","40",2,3,1,2
"416","42",2,3,1,1
"417","50",2,3,1,2
"418","59",2,3,1,1
"419","62",3,3,1,3
"420","63",2,3,1,1
"421","69",4,3,1,1
"422","70",2,3,1,1
"423","75",2,3,1,1
"424","80",2,3,1,3
"425","85",2,3,1,3
"426","87",2,2,1,2
"427","92",2,3,1,3
"428","96",2,3,1,2
"429","110",4,4,1,1
"430","114",4,4,1,1
"431","115",2,2,1,2
"432","134",2,2,1,2
"433","136",2,3,1,3
"434","139",3,4,1,3
"435","140",2,3,1,2
"436","146",1,4,1,3
"437","173",2,3,1,3
"438","178",1,4,1,3
"439","195",2,3,1,3
"440","197",2,3,1,3
"441","200",2,2,1,2
"442","201",4,4,1,1
"443","202",2,2,1,2
"444","226",1,4,1,3
"445","237",2,2,1,2
"446","240",2,3,1,3
"447","252",1,4,1,3
"448","255",4,4,1,1
"449","256",2,3,1,3
"450","257",4,4,1,1
"451","267",1,4,1,3
"452","269",2,3,1,3
"453","278",2,3,1,3
"454","282",2,3,1,2
"455","294",1,4,1,3
"456","301",4,4,1,1
"457","308",2,3,1,3
"458","311",4,3,1,1
"459","314",2,3,1,3
"460","318",1,4,1,1
"461","320",1,4,1,3
"462","323",2,3,1,2
"463","328",2,3,1,2
"464","336",2,3,1,3
"465","340",2,3,1,1
"466","344",2,3,1,1
"467","347",2,3,1,3
"468","352",3,4,1,3
"469","357",4,3,1,1
"470","362",2,3,1,1
"471","367",4,4,1,1
"472","371",2,3,1,3
"473","376",1,4,1,3
"474","393",2,3,1,1
"475","399",2,3,1,2
"476","401",2,3,1,2
"477","409",2,3,1,3
"478","411",2,3,1,3
"479","420",2,3,1,3
"480","421",2,3,1,3
"481","431",2,3,1,1
"482","444",2,2,1,2
"483","445",2,3,1,2
"484","446",2,2,1,2
"485","449",2,2,1,2
"486","450",2,2,1,2
"487","451",2,2,1,2
"488","453",2,2,1,2
"489","458",2,2,1,2
"490","463",2,3,1,2
"491","466",2,3,1,2
"492","470",2,2,1,2
"493","479",2,3,1,2
"494","489",2,2,1,2
"495","490",2,2,1,2
"496","491",2,2,1,2
"497","499",2,2,1,2
"498","502",2,2,1,2
"499","503",2,2,1,2
"500","506",2,2,1,2
"501","509",2,3,1,1
"502","511",2,2,1,2
"503","514",1,4,1,1
"504","516",2,2,1,2
"505","523",2,2,1,2
"506","531",2,2,1,2
"507","535",4,4,1,1
"508","536",2,3,1,2
"509","537",2,3,1,2
"510","546",2,3,1,1
"511","550",2,2,1,2
"512","552",2,2,1,2
"513","556",2,2,1,2
"514","565",2,2,1,2
"515","569",2,3,1,2
"516","576",2,2,5,2
"517","578",2,3,1,2
"518","594",2,3,1,1
"519","642",1,1,2,4
"520","645",2,3,1,3
"521","677",1,1,2,4
"522","692",2,2,1,2
"523","693",1,1,2,4
"524","716",2,2,1,2
"525","719",2,3,1,2
"526","722",2,3,1,2
"527","732",2,3,1,3
"528","749",2,3,1,2
"529","773",2,3,1,3
"530","8",4,4,1,1
"531","10",2,3,1,3
"532","21",4,3,1,1
"533","46",2,2,1,2
"534","82",2,3,1,1
"535","90",4,3,1,1
"536","131",2,3,1,1
"537","149",3,4,1,3
"538","205",2,2,1,2
"539","206",2,2,1,2
"540","221",1,4,1,3
"541","249",2,3,1,3
"542","262",2,3,1,3
"543","270",3,4,1,3
"544","276",2,3,1,2
